   CH4(S1) => CH3(S1) + H(S2)
Arrhenius parameters A, B, E:    3.711e+06    0.21  100.494
  T/K     k_calc(s-1)      k_fit(s-1)       f_unc       uncertainty(%)
 3500.0   6.74e+05         6.71e+05      1.9408e+00            94.1
 3510.0   6.81e+05         6.78e+05      1.9372e+00            93.7
 3520.0   6.88e+05         6.85e+05      1.9335e+00            93.4
 3530.0   6.95e+05         6.92e+05      1.9299e+00            93.0
 3540.0   7.02e+05         6.99e+05      1.9263e+00            92.6
 3550.0   7.09e+05         7.06e+05      1.9228e+00            92.3
 3560.0   7.16e+05         7.14e+05      1.9193e+00            91.9
 3570.0   7.24e+05         7.21e+05      1.9158e+00            91.6
 3580.0   7.31e+05         7.28e+05      1.9123e+00            91.2
 3590.0   7.38e+05         7.35e+05      1.9088e+00            90.9
 3600.0   7.46e+05         7.43e+05      1.9054e+00            90.5
 3610.0   7.53e+05         7.50e+05      1.9020e+00            90.2
 3620.0   7.60e+05         7.58e+05      1.8986e+00            89.9
 3630.0   7.68e+05         7.65e+05      1.8953e+00            89.5
 3640.0   7.75e+05         7.72e+05      1.8920e+00            89.2
 3650.0   7.83e+05         7.80e+05      1.8887e+00            88.9
 3660.0   7.90e+05         7.88e+05      1.8854e+00            88.5
 3670.0   7.98e+05         7.95e+05      1.8821e+00            88.2
 3680.0   8.05e+05         8.03e+05      1.8789e+00            87.9
 3690.0   8.13e+05         8.10e+05      1.8757e+00            87.6
 3700.0   8.20e+05         8.18e+05      1.8725e+00            87.2
 3710.0   8.28e+05         8.26e+05      1.8693e+00            86.9
 3720.0   8.36e+05         8.34e+05      1.8662e+00            86.6
 3730.0   8.44e+05         8.41e+05      1.8631e+00            86.3
 3740.0   8.51e+05         8.49e+05      1.8600e+00            86.0
 3750.0   8.59e+05         8.57e+05      1.8569e+00            85.7
 3760.0   8.67e+05         8.65e+05      1.8538e+00            85.4
 3770.0   8.75e+05         8.73e+05      1.8508e+00            85.1
 3780.0   8.83e+05         8.81e+05      1.8478e+00            84.8
 3790.0   8.91e+05         8.89e+05      1.8448e+00            84.5
 3800.0   8.98e+05         8.97e+05      1.8418e+00            84.2
 3810.0   9.06e+05         9.05e+05      1.8389e+00            83.9
 3820.0   9.14e+05         9.13e+05      1.8360e+00            83.6
 3830.0   9.22e+05         9.21e+05      1.8330e+00            83.3
 3840.0   9.31e+05         9.29e+05      1.8302e+00            83.0
 3850.0   9.39e+05         9.37e+05      1.8273e+00            82.7
 3860.0   9.47e+05         9.45e+05      1.8244e+00            82.4
 3870.0   9.55e+05         9.53e+05      1.8216e+00            82.2
 3880.0   9.63e+05         9.62e+05      1.8188e+00            81.9
 3890.0   9.71e+05         9.70e+05      1.8160e+00            81.6
 3900.0   9.79e+05         9.78e+05      1.8132e+00            81.3
 3910.0   9.88e+05         9.87e+05      1.8105e+00            81.0
 3920.0   9.96e+05         9.95e+05      1.8077e+00            80.8
 3930.0   1.00e+06         1.00e+06      1.8050e+00            80.5
 3940.0   1.01e+06         1.01e+06      1.8023e+00            80.2
 3950.0   1.02e+06         1.02e+06      1.7996e+00            80.0
 3960.0   1.03e+06         1.03e+06      1.7969e+00            79.7
 3970.0   1.04e+06         1.04e+06      1.7943e+00            79.4
 3980.0   1.05e+06         1.05e+06      1.7917e+00            79.2
 3990.0   1.05e+06         1.05e+06      1.7890e+00            78.9
 4000.0   1.06e+06         1.06e+06      1.7864e+00            78.6
 4010.0   1.07e+06         1.07e+06      1.7839e+00            78.4
 4020.0   1.08e+06         1.08e+06      1.7813e+00            78.1
 4030.0   1.09e+06         1.09e+06      1.7787e+00            77.9
 4040.0   1.10e+06         1.10e+06      1.7762e+00            77.6
 4050.0   1.11e+06         1.11e+06      1.7737e+00            77.4
 4060.0   1.11e+06         1.11e+06      1.7712e+00            77.1
 4070.0   1.12e+06         1.12e+06      1.7687e+00            76.9
 4080.0   1.13e+06         1.13e+06      1.7662e+00            76.6
 4090.0   1.14e+06         1.14e+06      1.7638e+00            76.4
 4100.0   1.15e+06         1.15e+06      1.7613e+00            76.1
 4110.0   1.16e+06         1.16e+06      1.7589e+00            75.9
 4120.0   1.17e+06         1.17e+06      1.7565e+00            75.7
 4130.0   1.18e+06         1.18e+06      1.7541e+00            75.4
 4140.0   1.18e+06         1.19e+06      1.7517e+00            75.2
 4150.0   1.19e+06         1.19e+06      1.7494e+00            74.9
 4160.0   1.20e+06         1.20e+06      1.7470e+00            74.7
 4170.0   1.21e+06         1.21e+06      1.7447e+00            74.5
 4180.0   1.22e+06         1.22e+06      1.7424e+00            74.2
 4190.0   1.23e+06         1.23e+06      1.7401e+00            74.0
 4200.0   1.24e+06         1.24e+06      1.7378e+00            73.8
 4210.0   1.25e+06         1.25e+06      1.7355e+00            73.5
 4220.0   1.26e+06         1.26e+06      1.7332e+00            73.3
 4230.0   1.26e+06         1.27e+06      1.7310e+00            73.1
 4240.0   1.27e+06         1.28e+06      1.7287e+00            72.9
 4250.0   1.28e+06         1.29e+06      1.7265e+00            72.6
 4260.0   1.29e+06         1.30e+06      1.7243e+00            72.4
 4270.0   1.30e+06         1.30e+06      1.7221e+00            72.2
 4280.0   1.31e+06         1.31e+06      1.7199e+00            72.0
 4290.0   1.32e+06         1.32e+06      1.7177e+00            71.8
 4300.0   1.33e+06         1.33e+06      1.7156e+00            71.6
 4310.0   1.34e+06         1.34e+06      1.7134e+00            71.3
